Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-09-25,13.9312,14.0711,13.7019,13.9312,181432.41409731
1998-09-28,14.3886,14.6169,14.2986,14.6169,116022.90599225
1998-09-29,15.21,15.5318,15.0753,15.4383,241067.30060521
1998-09-30,15.21,15.21,14.6169,15.0753,165081.46614984
1998-10-01,14.3886,14.3886,13.9312,14.1603,88742.363416205
1998-10-02,13.7019,14.3886,13.7019,14.2986,99395.288389952
1998-10-05,14.2986,14.6169,14.1603,14.1603,57384.944852143
1998-10-06,14.3886,14.5294,14.3886,14.5294,80580.608598907
1998-10-07,14.8443,14.8443,14.6169,14.6169,160205.44929933
1998-10-08,14.9816,14.9816,14.5294,14.5294,134988.4965041
1998-10-09,14.8443,14.8443,14.5294,14.8443,155849.61713042
1998-10-12,15.4383,15.4383,15.21,15.3027,107418.70837984
1998-10-13,15.0753,15.0753,14.9816,14.9816,57174.584453434
1998-10-14,15.21,15.21,14.7569,15.21,29092.614488833
1998-10-15,15.5318,15.5318,15.0753,15.0753,71376.197892357
1998-10-16,15.5318,15.7601,15.3027,15.7601,49338.659601527
1998-10-19,15.7601,15.7601,15.3027,15.3027,12861.709160191
1998-10-20,15.7601,16.1248,15.7601,16.1248,191034.68034055
1998-10-21,15.9885,16.3523,15.8958,16.3523,68698.675860964
1998-10-22,16.3523,17.3564,16.3523,17.0389,66737.979753433
1998-10-23,17.1317,17.8131,17.1317,17.1317,106714.45834938
1998-10-26,17.1317,17.4955,16.9034,17.2682,106182.84103742
1998-10-27,17.3564,17.3564,16.9034,17.2682,86923.431925195
1998-10-28,17.2682,17.7247,17.2682,17.7247,109980.76084455
1998-10-29,17.3564,17.8131,17.3564,17.5848,46953.812907469
1998-10-30,17.5848,18.183,17.5848,17.8131,38487.950122472
1998-11-02,18.2705,19.4137,18.2705,18.9563,66704.825125376
1998-11-03,18.7289,18.7289,18.4996,18.7289,106497.23837245
1998-11-04,19.0927,19.551,19.0927,19.551,41843.427134487
1998-11-05,19.6429,19.6429,18.8645,19.1846,128426.16667482
1998-11-06,20.1012,20.1012,18.9563,19.4137,149663.42084012
1998-11-09,19.6429,19.6429,18.9563,19.321,64345.130218119
1998-11-10,19.1846,19.4137,19.1846,19.1846,142799.26956921
1998-11-12,19.551,19.551,19.4137,19.551,93746.425726797
1998-11-13,19.551,19.7784,19.4137,19.6429,92012.095700485
1998-11-16,18.9563,19.8703,18.9563,19.4137,38292.452143237
1998-11-17,18.7289,18.7289,18.183,18.2705,33722.829786501
1998-11-18,18.2705,18.2705,17.8131,18.0431,85565.235437879
1998-11-19,18.183,18.183,17.8131,17.953,38005.493121086
1998-11-20,18.2705,18.2705,18.0431,18.2705,20521.571504482
1998-11-23,18.4105,18.4105,18.0431,18.2705,40175.406364289
1998-11-24,18.4996,18.4996,17.953,18.0431,54264.980025639
1998-11-25,17.8131,17.953,17.5848,17.953,16354.37773658
1998-11-26,17.8131,17.953,17.8131,17.953,25385.012461588
1998-11-27,17.8131,17.8131,17.4955,17.5848,16768.238955779
1998-11-30,17.5848,17.7247,17.5848,17.7247,54736.004396661
1998-12-01,17.0389,17.0389,16.9034,17.0389,46107.798260487
1998-12-02,17.1317,17.4955,17.1317,17.4955,75912.665621036
1998-12-03,17.5848,18.4996,17.5848,18.4996,91130.639899373
1998-12-04,18.7289,19.1846,18.7289,19.1846,67806.930692524
1998-12-07,19.321,19.321,19.1846,19.321,51236.476242053
1998-12-08,19.321,19.4137,19.1846,19.321,59526.276519435
1998-12-09,19.321,19.4137,19.321,19.321,42323.5976098
1998-12-10,19.551,19.551,19.321,19.321,62511.336307635
1998-12-11,19.1846,19.1846,18.9563,18.9563,32033.087018611
1998-12-14,18.9563,19.1846,18.9563,19.0927,40375.47739567
1998-12-15,19.321,19.321,19.1846,19.321,8638.4955035022
1998-12-16,19.551,19.551,19.321,19.551,28957.70945053
1998-12-17,19.1846,19.1846,18.8645,18.9563,17719.433802115
1998-12-18,19.1846,19.551,19.1846,19.551,33064.3102775
1998-12-21,19.6429,19.8703,19.6429,19.7784,43095.300159412
1998-12-22,20.0067,20.7862,20.0067,20.5578,50843.19375751
1998-12-23,20.3287,20.9226,20.3287,20.9226,43150.176785162
1998-12-28,21.1509,22.3815,21.1509,21.6958,29793.434730184
1998-12-29,21.0152,21.0152,20.3287,20.4643,21954.080089168
1998-12-30,20.5578,20.6934,20.5578,20.6934,26137.27953958
